"NAME","GENRES","DEVELOPER","PUBLISHER","RELEASE DATE","PLATFORMS","TAGS","SP/COOP/MP","BASE PRICE","NEGATIVE REVIEWS","POSITIVE REVIEWS","TOTAL REVIEWS","24-HR PEAK (2/28)","ALL TIME PEAK","positive_review_rate","peak_ratio","success","log_negative_reviews","log_positive_reviews","log_total_reviews","log_peak","log_all_time_peak"
"X Rebirth","Action,Simulation","Egosoft","Egosoft",2013-11-15,"Windows,macOS,SteamOS,Linu","Simulation,Space,Sci-fi,Action,Space Sim,Sandbox,Singleplayer,Open World,Economy,Trading,Strategy,Exploration,Moddable,Atmospheric,Adventure,Great Soundtrack,Management,First-Person,Shooter,FPS","Single-player",29.99,4111,3145,7256,28,14664,0.433434399117971,0.00190943807965085,0,8.321664807135,8.05388708361822,8.88972179927814,3.36729582998647,9.59321898141155
"Natural Selection 2","Action,Indie,Strategy","Unknown Worlds Entertainment","Unknown Worlds Entertainment",2012-10-30,"Windows","Multiplayer,Strategy,FPS,Team-Based,Action,Sci-fi,RTS,Aliens,Indie,Competitive,Shooter,Co-op,Tactical,Moddable,First-Person,Space,Futuristic,Atmospheric,Online Co-Op,Adventure","Online PvP",4.99,1889,11012,12901,153,9429,0.853577242074258,0.0162265351574928,0,7.54433210805369,9.30683167216494,9.46513761709219,5.03695260241363,9.1516513756275
"BioShock Infinite","Action","Irrational Games,Virtual Programming (Linux)","2K",2013-03-25,"Windows,macOS,SteamOS,Linu","FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Shooter,First-Person,Beautiful,Alternate History,Adventure,Great Soundtrack,Dystopian ,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG,Immersive","Single-player",29.99,8321,126997,135318,503,65198,0.938507811229844,0.00771496058161293,1,9.02665788954289,11.7519266172852,11.8153902329767,6.22257626807137,11.0851994103738
"Borderlands Game of the Year","Action,RPG","Gearbox Software","2K",2023-08-31,"Windows","Looter Shooter,FPS,Co-op,RPG,Action,Loot,Shooter,Online Co-Op,First-Person,Open World,Comedy,Multiplayer,Sci-fi,Post-apocalyptic,Singleplayer,Action RPG,Funny,Dark Humor,Adventure,Gore","Single-player",29.99,2908,28177,31085,0,0,0.90645005629725,NA,0,7.9755646584952,10.2462968106132,10.3445128360428,0,0
"Dragon Nest","Action,Free to Play,Massively Multiplayer,RPG","Eyedentity Games Inc.","Eyedentity Games Inc.",2012-12-18,"Windows","Free to Play,Action,RPG,Anime,Massively Multiplayer,MMORPG,Fantasy,Hack and Slash,Dragons,Multiplayer,Adventure,Dungeon Crawler,Open World,Third Person","Single-player",0,630,1649,2279,17,1754,0.723562966213251,0.0096921322690992,0,6.44730586254121,7.40853056689463,7.73193072194849,2.89037175789616,7.47022413589997
"Grand Theft Auto IV: The Complete Edition","Action,Adventure","Rockstar North,Rockstar Toronto","Rockstar Games",2020-03-24,"Windows","Open World,Action,Automobile Sim,Multiplayer,Crime,Third Person,Adventure,Singleplayer,Third-Person Shooter,Sandbox,Moddable,Shooter,Physics,Atmospheric,Classic,Funny,Dark Humor,Gore,Co-op,Satire","Single-player",19.99,27968,120970,148938,3026,11696,0.812217164189126,0.258720930232558,0,10.2388520329648,11.7033061264321,11.911292105129,8.01532730902172,9.36708767765071
"GROUND BRANCH","Action,Indie,Simulation,Early Access","BlackFoot Studios","MicroProse Software",2018-08-14,"Windows","Tactical,Realistic,Military,FPS,Shooter,Multiplayer,Simulation,Singleplayer,Action,Co-op,First-Person,Gun Customization,Indie,Early Access,War,Online Co-Op,Team-Based,Strategy,Atmospheric,Sandbox","Single-player,Online PvP,Online Co-op",29.99,1584,15836,17420,421,1667,0.909070034443169,0.25254949010198,1,7.36833968631138,9.67010425349173,9.76543165404016,6.04500531403601,7.41938058291869
"Sniper: Ghost Warrior 2","Action","City Interactive","CI Games",2013-03-11,"Windows","Sniper,Action,FPS,Multiplayer,Shooter,Stealth,Singleplayer,First-Person,Military,Tactical,Open World,Co-op,Adventure,Strategy,Online Co-Op,Bullet Time,Simulation,Controller,Difficult,Atmospheric","Single-player",9.99,4266,12951,17217,0,0,0.752221641400941,NA,0,8.358666283188,9.46900549535747,9.7537106272179,0,0
"Trine 2: Complete Story","Action,Adventure,Indie","Frozenbyte","Frozenbyte",2013-06-06,"Windows,macOS,SteamOS,Linu","Puzzle Platformer,Platformer,Adventure,Action,Beautiful,2D Platformer,Puzzle,Co-op,Fantasy,Indie,Online Co-Op,Local Co-Op,Multiplayer,Physics,Great Soundtrack,Singleplayer,Atmospheric,2D,Casual,RPG","Single-player,Online Co-op,Shared/Split Screen Co-op",4.99,951,20239,21190,0,0,0.955120339782916,NA,1,6.85856503479136,9.9154161234014,9.96133184222057,0,0
"RIFT","Action,Adventure,Massively Multiplayer,RPG,Free to Play","gamigo US Inc.","gamigo US Inc.",2013-10-24,"Windows","Free to Play,MMORPG,RPG,Fantasy,Open World,Old School,Nostalgia,Massively Multiplayer,Multiplayer,Adventure,Action,Character Customization,Co-op,PvP,Online Co-Op,Magic,Crafting,Third Person,Survival,3D","Online PvP,Online Co-op",0,2817,8111,10928,184,11647,0.742221815519766,0.0157980595861595,0,7.94378269245863,9.00109972583097,9.29917508567667,5.22035582507832,9.36288977043647
"FINAL FANTASY VII","RPG","Square Enix","Square Enix",2013-07-04,"Windows","JRPG,RPG,Classic,Turn-Based,Story Rich,Singleplayer,Great Soundtrack,Fantasy,Retro,Adventure,Party-Based RPG,Epic,Sci-fi,Open World,Cyberpunk,Atmospheric,Exploration,Dystopian ,1990's,Strategy","Single-player",11.99,1752,23206,24958,768,6424,0.929802067473355,0.119551681195517,0,7.46908388492123,10.0522092362828,10.1249897575782,6.64509096950564,8.76795190976342
"FINAL FANTASY VIII","RPG","Square Enix","Square Enix",2013-12-05,"Windows","JRPG,RPG,Classic,Singleplayer,Great Soundtrack,Turn-Based,Story Rich,Fantasy,Card Game,Sci-fi,Adventure,Open World,Retro,Nostalgia,Romance,Atmospheric,1990's,Action,Epic,Controller","Single-player",11.99,996,7667,8663,145,4457,0.885028281195891,0.0325330940094234,0,6.90475076996184,8.94481110416553,9.06693178868083,4.98360662170834,8.40245551394581
"FINAL FANTASY XIV Online","Massively Multiplayer,RPG","Square Enix","Square Enix",2014-02-18,"Windows","MMORPG,RPG,Massively Multiplayer,Fantasy,Character Customization,JRPG,Story Rich,Open World,Multiplayer,Adventure,Magic,Third Person,Co-op,Action,Atmospheric,Exploration,Action RPG,Online Co-Op,Female Protagonist,Crafting","Single-player,Online PvP,Online Co-op",19.99,8316,63439,71755,26449,95102,0.884105637237823,0.278111921936447,0,9.02605689186869,11.0578498563087,11.181026753819,10.1830114372864,11.4627157937772
